ekg,gsr,answer_valence,answer_arousal
654,12,,
682,15,,
714,10,,
746,15,,
776,13,,
803,10,,
827,15,,
851,12,,
872,10,,
893,15,,
908,11,,
920,11,,
926,15,,
921,11,,
909,10,,
891,15,,
865,10,,
835,13,,
797,14,,
754,9,,
706,15,,
651,14,,
595,11,,
539,15,,
482,14,,
422,13,,
365,15,,
310,12,,
262,15,,
224,14,,
195,12,,
173,14,,
159,13,,
151,13,,
149,14,,
151,13,,
158,14,,
168,14,,
183,12,,
200,14,,
219,14,,
240,12,,
259,15,,
280,14,,
299,13,,
318,15,,
335,13,,
352,13,,
367,15,,
380,13,,
392,13,,
403,15,,
412,12,,
420,15,,
428,15,,
434,12,,
440,15,,
446,14,,
450,12,,
454,15,,
458,11,,
460,15,,
463,15,,
464,11,,
467,15,,
469,14,,
470,11,,
472,15,,
473,12,,
474,15,,
475,14,,
476,11,,
476,15,,
476,13,,
476,12,,
477,15,,
476,13,,
477,12,,
478,15,,
480,12,,
481,14,,
482,15,,
484,11,,
486,15,,
487,14,,
487,11,,
488,15,,
489,13,,
489,12,,
490,15,,
491,11,,
491,15,,
491,14,,
491,12,,
492,15,,
491,11,,
491,15,,
491,14,,
491,11,,
492,15,,
494,12,,
494,13,,
494,15,,
495,12,,
496,15,,
496,15,,
495,11,,
496,15,,
496,14,,
497,12,,
496,15,,
497,12,,
497,15,,
498,14,,
499,11,,
500,15,,
500,12,,
501,13,,
502,15,,
504,11,,
505,15,,
505,13,,
505,12,,
505,15,,
506,11,,
506,15,,
506,15,,
505,11,,
505,15,,
505,12,,
505,15,,
506,15,,
507,11,,
507,15,,
508,13,,
508,11,,
508,15,,
508,14,,
509,11,,
510,15,,
511,13,,
511,11,,
512,15,,
513,13,,
513,12,,
514,15,,
514,12,,
516,15,,
516,14,,
517,12,,
517,15,,
517,11,,
518,15,,
518,14,,
517,11,,
516,15,,
517,14,,
518,11,,
519,15,,
519,12,,
519,12,,
520,15,,
522,12,,
523,15,,
524,14,,
526,11,,
527,15,,
528,12,,
529,14,,
530,14,,
531,11,,
533,15,,
534,12,,
534,13,,
535,15,,
534,11,,
533,15,,
533,13,,
533,12,,
534,15,,
535,12,,
536,15,,
536,14,,
538,11,,
539,15,,
540,11,,
541,15,,
543,14,,
543,11,,
544,15,,
545,12,,
545,13,,
545,15,,
545,11,,
546,15,,
548,13,,
550,12,,
551,15,,
552,11,,
554,14,,
554,15,,
555,11,,
556,15,,
558,14,,
558,11,,
560,15,,
561,12,,
563,11,,
563,15,,
563,11,,
563,15,,
564,14,,
566,11,,
566,15,,
566,14,,
566,11,,
565,15,,
566,14,,
565,11,,
566,15,,
567,12,,
568,14,,
569,15,,
568,11,,
568,15,,
569,12,,
569,13,,
569,15,,
569,11,,
569,15,,
569,14,,
568,11,,
569,15,,
568,12,,
568,14,,
568,15,,
568,10,,
566,15,,
566,13,,
566,11,,
566,15,,
566,12,,
567,11,,
567,15,,
567,12,,
566,15,,
565,13,,
566,11,,
565,15,,
564,11,,
563,14,,
562,15,,
561,11,,
560,14,,
560,15,,
559,11,,
558,15,,
557,13,,
556,11,,
555,15,,
553,11,,
552,14,,
551,14,,
551,11,,
550,15,,
548,13,,
546,11,,
545,15,,
543,12,,
540,12,,
539,15,,
537,12,,
536,13,,
535,15,,
533,11,,
531,15,,
529,14,,
527,11,,
526,15,,
524,12,,
521,12,,
519,15,,
518,11,,
516,15,,
515,15,,
513,11,,
510,15,,
509,14,,
507,11,,
505,15,,
503,12,,
500,12,,
499,15,,
498,12,,
497,13,,
497,15,,
495,12,,
494,13,,
493,15,,
491,11,,
489,15,,
488,15,,
487,11,,
485,15,,
483,14,,
483,11,,
481,15,,
480,12,,
479,14,,
477,15,,
475,11,,
473,15,,
473,11,,
472,15,,
471,15,,
471,11,,
470,15,,
470,14,,
469,12,,
468,15,,
468,11,,
470,15,,
469,14,,
470,11,,
470,15,,
469,12,,
467,14,,
468,14,,
467,11,,
466,15,,
466,13,,
465,14,,
464,15,,
464,11,,
464,15,,
464,13,,
465,13,,
465,15,,
466,11,,
468,15,,
468,12,,
469,14,,
469,15,,
469,12,,
470,14,,
470,15,,
471,12,,
472,14,,
474,15,,
475,11,,
475,15,,
475,14,,
476,12,,
475,15,,
476,12,,
476,13,,
478,15,,
478,12,,
478,14,,
478,15,,
478,11,,
478,15,,
479,15,,
479,11,,
480,15,,
480,13,,
481,12,,
482,15,,
483,12,,
483,12,,
484,15,,
485,12,,
486,14,,
487,15,,
488,11,,
490,15,,
491,14,,
492,11,,
493,15,,
492,14,,
492,11,,
493,15,,
494,12,,
495,13,,
495,15,,
495,11,,
494,15,,
495,14,,
495,11,,
496,15,,
496,12,,
496,14,,
496,15,,
496,11,,
497,15,,
499,13,,
498,12,,
497,15,,
498,11,,
498,15,,
498,13,,
498,12,,
499,15,,
499,11,,
500,15,,
501,14,,
502,11,,
502,15,,
502,11,,
502,15,,
502,15,,
502,11,,
502,15,,
501,14,,
501,11,,
501,15,,
501,12,,
502,13,,
503,15,,
504,11,,
506,15,,
507,15,,
507,11,,
506,15,,
505,14,,
505,11,,
505,15,,
504,13,,
506,11,,
506,15,,
506,13,,
506,12,,
507,15,,
507,12,,
508,14,,
507,15,,
507,11,,
507,15,,
506,14,,
506,11,,
506,15,,
508,13,,
509,12,,
511,15,,
511,12,,
511,14,,
510,15,,
511,11,,
510,15,,
510,15,,
509,11,,
507,15,,
507,14,,
505,11,,
505,15,,
504,12,,
504,14,,
505,15,,
505,11,,
505,15,,
505,14,,
505,11,,
506,15,,
506,12,,
505,14,,
506,14,,
506,11,,
507,15,,
505,14,,
504,11,,
504,15,3.9625146484375,3
504,12,,
503,13,,
502,15,,
501,11,,
502,15,,
502,14,,
501,11,,
501,15,,
501,12,,
500,13,,
500,15,,
501,12,,
501,15,,
501,14,,
500,11,,
500,15,,
501,14,,
500,11,,
500,15,,
500,12,,
499,14,,
500,15,,
500,11,,
500,15,,
501,13,,
501,13,,
501,15,,
501,11,,
502,15,,
503,14,,
503,11,,
503,15,,
503,14,,
503,11,,
